genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Country,A Thousand Horses,My Time's Comin',16zol4GvHyTER5irYODUk0,45,0.00192,0.327,194107,0.835,0.00015,C,0.167,-4.952,Major,0.0609,171.795,4/4,0.385
Soundtrack,Mark Mothersbaugh,House Tour,6ac5gUfGTckpdGQCyWsdh2,25,0.932,0.253,102920,0.0798,0.568,C,0.0906,-18.512,Major,0.0439,110.931,4/4,0.0487
Reggae,Unified Highway,We Can't Fall (Remix) [feat. J. Patz],09Yz6koF1Y15n1012t1UX6,19,0.0331,0.821,225437,0.737,0.0134,E,0.132,-6.295,Minor,0.212,137.968,4/4,0.787
Electronic,Stooki Sound,Endz - Original Mix,3dzEZARDL4ZwICMKVta7Xn,29,0.00428,0.745,225400,0.772,0.114,E,0.0722,-3.949,Major,0.0904,133.113,4/4,0.17
Comedy,Bill Hicks,I Love My Job (Live),39Z1G5384UgGa5vmW6WyxC,17,0.965,0.502,287973,0.804,9.56e-05,G,0.902,-9.935,Major,0.807,104.576,3/4,0.185
Children's Music,Sugar Kane Music,How Much Is That Doggy In The Window?,4jqa6EVFnjnnzP1Ud5Kmkx,16,0.715,0.787,133787,0.224,0.0,B,0.138,-9.607,Major,0.0366,146.054,3/4,0.657
Pop,Justin Timberlake,Morning Light,3KnLHwhRhJGuQM822JVSoI,63,0.382,0.62,243040,0.497,0.0482,A,0.193,-9.585,Minor,0.119,155.908,4/4,0.55
Hip-Hop,Lil Keke,Chunk Up the Deuce (feat. U.G.K. & Paul Wall),5i0n3xtjuVFLp646joI9XS,51,0.0298,0.929,299733,0.61,0.0,B,0.0958,-6.064,Minor,0.321,136.081,4/4,0.868
Country,Cole Swindell,Get Up,0xcNCh68MRPmaY9c8m5SuH,41,0.0709,0.57,161040,0.715,0.0,C#,0.0745,-3.399,Major,0.044,148.032,4/4,0.831
Soul,Hayden James,Something About You - ODESZA Remix,6vjWim6xU6tPjA42GxSp1U,65,0.0216,0.709,343800,0.669,0.0125,B,0.146,-8.422,Minor,0.0409,105.004,4/4,0.106
Comedy,Martin Lawrence,Wash Yo' Ass,2w7G8KNE2lKD0bitsvhoyi,18,0.66,0.648,72800,0.414,0.0,A#,0.882,-20.418,Major,0.949,88.283,4/4,0.524
Ska,Reel Big Fish,Where Have You Been - Live,2n3uYpguVyFKj1txkUyDXg,19,0.167,0.529,450093,0.643,5.78e-06,A,0.355,-7.51,Minor,0.0415,96.536,4/4,0.664
Anime,Ayumi Hamasaki,teddy bear,26h3quLOSrdc1AvJGPjqUr,27,0.938,0.543,258100,0.339,1.12e-05,G#,0.351,-8.523,Major,0.0365,110.981,3/4,0.367
R&B,LEISURE,Tied Up,5gQbAyvNJMGoyAGOcwXI6x,20,0.175,0.807,185173,0.594,0.0591,A,0.32,-7.945,Major,0.0295,130.086,4/4,0.83
Ska,Rancid,East Bay Night - Acoustic,0fJH378O6bjtlXaznTzu0L,27,0.8,0.631,127227,0.66,0.0,D,0.137,-7.478,Major,0.0257,97.159,4/4,0.614
Soul,Palace,Veins,1UsXMQwIzCKSk6oIdRE5Jc,47,0.349,0.429,269975,0.273,0.0384,C,0.111,-9.719,Major,0.0287,110.161,3/4,0.112
Opera,Dame Joan Sutherland,Handel: Rodelinda: Ritorna o caro,3GPzpZlnHgUfBPkuEtQymR,10,0.963,0.249,284173,0.257,0.111,G#,0.12,-15.19,Major,0.0445,79.599,4/4,0.115
Reggae,Bob Marley & The Wailers,Pimper's Paradise,5JqCmd41S3PZ2AS6GuHqcR,65,0.00499,0.939,207773,0.642,0.0,A,0.0427,-8.189,Minor,0.0525,134.709,4/4,0.967
Dance,Sigrid,Basic,27rABo3vAhwpnnqmTO9fMM,0,0.121,0.674,217743,0.531,0.0,F#,0.197,-6.941,Minor,0.0516,129.939,4/4,0.17
Rock,HUNNY,Parking Lot,49hK8RTciFjSL8QQSl8IY4,51,0.00303,0.498,205937,0.844,0.0,G,0.355,-5.163,Minor,0.0474,103.97,4/4,0.469
Ska,Jimmy Cliff,Sufferin' In The Land,34zHUd57FDbb1NPCQ6ceFH,21,0.145,0.873,191533,0.391,3.7e-05,G,0.15,-15.117,Major,0.0422,119.628,4/4,0.982
Reggae,Richie Spice,Earth Alert,2ypYip1195wsLtBUObdCik,0,0.134,0.81,261787,0.44,2.98e-05,C,0.0992,-7.745,Major,0.21,142.543,4/4,0.706
Soundtrack,Jeff Beal,I Know What I Have To Do,1lhFEWOnEuaoukpa22BTU2,35,0.949,0.236,163853,0.117,0.854,G#,0.123,-23.925,Major,0.0317,70.196,5/4,0.071
Soundtrack,Randy Edelman,A Steep But Beautiful Climb,2s0f9qk6C7XsivqH7UEQIK,31,0.987,0.34,153813,0.134,0.906,C,0.0959,-16.512,Major,0.0323,81.047,3/4,0.198
Folk,Natalie Merchant,Wonder,5Hz6aGrZZizNBoJ6kE6Rqi,53,0.346,0.719,266008,0.739,0.0102,C#,0.0581,-5.577,Major,0.0419,115.142,4/4,0.603
Anime,THE YELLOW MONKEY,Tactics - Remastered,63Fr7DWb720YiiTTlaxbZ7,29,0.00305,0.523,268160,0.96,1.4e-06,B,0.301,-3.532,Minor,0.0701,117.168,4/4,0.675
Ska,8 Kalacas,Terror,0zaajTUqLVXF7n8gBG0ndN,19,4.58e-06,0.307,169053,0.978,3.81e-05,A#,0.0553,-6.321,Minor,0.121,143.482,4/4,0.81
Rock,Deftones,Knife Prty,42Kv1RoTAm09FeytxiuZIB,55,0.00025,0.295,289200,0.883,0.0234,C,0.137,-3.897,Minor,0.0446,74.483,3/4,0.118
Reggae,Demarco,Self Reliance,3EiQKzwDSRuLvoWHZv8Rfr,33,0.0341,0.553,207835,0.733,0.0,D,0.172,-6.654,Major,0.356,124.185,5/4,0.281
Pop,Motion City Soundtrack,Everything Is Alright,6xyiHZgrmXw7sMyYXbXjPV,64,0.000494,0.435,207634,0.95,0.0,G#,0.317,-3.869,Major,0.106,160.987,4/4,0.457
Country,Robert Earl Keen,Gringo Honeymoon,7aJUDR4y5tVWYH1higXJIH,38,0.156,0.503,293387,0.614,8.89e-05,D,0.604,-10.875,Major,0.0296,108.631,4/4,0.493
Children’s Music,Never Shout Never,Your Biggest Fan,0L3di3gB5KlamEABLJK8KK,46,0.944,0.738,210667,0.308,0.0,C,0.131,-7.242,Major,0.0419,124.979,4/4,0.531
Alternative,The Internet,Just Sayin/I Tried,2F4JaV4P4zajoAiUkHD36b,50,0.427,0.489,413587,0.506,0.0862,B,0.12,-10.251,Major,0.177,95.528,4/4,0.431
Soul,Raphael Saadiq,Stone Rollin',34vq540jPfrXKt2aogxib9,35,0.00404,0.66,216307,0.806,0.0087,B,0.0704,-4.495,Major,0.0246,99.987,4/4,0.75
Rap,Huncho Jack,Modern Slavery,7J6bnDDitOwfelaJNixHhL,68,0.00158,0.737,148560,0.737,0.0,E,0.28,-3.72,Minor,0.238,134.066,4/4,0.5
Children's Music,Music For Little People Choir,You Won't See Me,3DVGgr2lBX9flRj895xSMp,0,0.0729,0.701,274267,0.739,0.000333,C,0.0805,-6.547,Major,0.0291,120.004,4/4,0.687
R&B,Jinsang,Restless,6JfrV3NDc9eCUPM3osbwOc,44,0.506,0.737,90187,0.259,0.135,G#,0.0893,-18.901,Minor,0.423,149.106,4/4,0.42
World,Passion,Here I Am To Worship - Live,2Cg6FXKNsP1JV4Nzoz2six,30,0.0996,0.367,291627,0.496,0.0,E,0.676,-9.038,Major,0.0356,76.069,4/4,0.197
Electronic,San Holo,show me,1rS3g0pYnbnwTtj3A4OvXP,61,0.235,0.474,341476,0.731,0.00536,C,0.223,-5.582,Major,0.0406,135.056,4/4,0.0876
Classical,Erik Satie,3 Gymnopedies (orch. Debussy): Gymnopedie No. 2,2euauaTvztPp2Ae6rCeTri,43,0.936,0.092,221000,0.0239,0.902,G,0.18,-31.457,Major,0.0488,67.289,3/4,0.0541
R&B,Shoffy,Let Go Today,3FUWD1PXnb6wxRpxqEp1zc,61,0.182,0.84,182400,0.193,0.0,G#,0.173,-11.186,Major,0.0696,99.99,4/4,0.204
Comedy,Robin Williams,My Way (A Mi Manera),2Z7CfiLTIg5rcF3kWsgBGi,39,0.375,0.475,104573,0.795,0.0,E,0.316,-5.005,Major,0.0824,95.518,4/4,0.412
Anime,Capcom Sound Team,Monster Hunter,1qteA4p8vKkpMkIKBmMvrl,21,0.706,0.294,184120,0.652,0.823,D#,0.116,-5.36,Minor,0.036,76.006,4/4,0.212
Indie,Lady Lamb,Deep Love,6SKThyaFX1OQKL4CmOmvO6,45,0.366,0.496,237680,0.469,0.0,G,0.133,-6.619,Major,0.0352,137.833,4/4,0.259
Opera,Richard Wagner,Lohengrin: Prelude to Act 1,0S3N4451MamSezHlJP2iZU,13,0.92,0.0942,589000,0.0341,0.953,A,0.277,-26.675,Major,0.04,84.676,4/4,0.0288
Country,Kellie Pickler,Santa Baby,1k8aOPSd54EREmgEGhCMtP,38,0.486,0.705,207200,0.44,0.0,D,0.113,-4.452,Major,0.0254,86.008,4/4,0.453
